Date,Product_Name,Sales_Quantity,Revenue,Region
2024-01-25,Bose Ultra Headphones,9,523,West
2024-03-29,Nike Air Force 1,3,1742,East
2024-02-10,Kindle Paperwhite 16GB,12,359,West
2024-03-18,Apple MacBook Air M2,6,813,South
2024-02-04,Kindle Paperwhite 16GB,5,1324,West
2024-03-30,Dell UltraSharp 27 Monitor,10,432,South
2024-01-14,Bose Ultra Headphones,4,1202,East
2024-01-13,Acoustic Guitar XT200,4,780,East
2024-03-20,Logitech MX Master 3S,2,1599,North
2024-03-09,Nintendo Switch OLED,14,1976,North
2024-02-23,Nike Air Force 1,2,1656,South
2024-03-14,Acoustic Guitar XT200,14,776,South
2024-01-16,Apple MacBook Air M2,9,1028,North
2024-01-26,Kindle Paperwhite 16GB,8,461,South
2024-01-01,Apple MacBook Air M2,10,1977,South
2024-01-12,Nike Air Force 1,7,1370,West
2024-03-30,Acoustic Guitar XT200,4,1225,South
2024-02-06,Logitech MX Master 3S,16,515,North
2024-03-29,Acoustic Guitar XT200,3,1906,North
2024-02-19,Nike Air Force 1,17,792,West
2024-02-17,Apple MacBook Air M2,1,1500,East
2024-01-25,Acoustic Guitar XT200,17,1747,West
2024-01-06,Logitech MX Master 3S,2,569,South
2024-01-23,Logitech MX Master 3S,14,1271,East
2024-03-02,Logitech MX Master 3S,11,189,East
2024-03-25,Apple MacBook Air M2,17,141,West
2024-02-15,Herman Miller Aeron Chair,2,1911,South
2024-03-10,Bose Ultra Headphones,8,995,South
2024-01-04,Acoustic Guitar XT200,13,964,South
2024-03-14,Herman Miller Aeron Chair,9,1756,South
2024-01-04,Apple MacBook Air M2,5,1404,West
2024-02-17,Kindle Paperwhite 16GB,1,757,North
2024-02-15,Herman Miller Aeron Chair,2,1365,West
2024-02-06,Nintendo Switch OLED,6,1067,West
2024-03-13,Acoustic Guitar XT200,9,870,West
2024-02-01,Nintendo Switch OLED,7,836,North
2024-01-20,Herman Miller Aeron Chair,6,527,East
2024-01-28,Sony Alpha a7 IV,9,329,North
2024-02-06,Bose Ultra Headphones,19,985,South
2024-03-09,Herman Miller Aeron Chair,14,1800,South
2024-01-09,Apple MacBook Air M2,13,1970,West
2024-02-28,Herman Miller Aeron Chair,16,888,West
2024-03-25,Nike Air Force 1,15,1013,North
2024-03-08,Logitech MX Master 3S,6,1349,South
2024-03-11,Sony Alpha a7 IV,12,1540,West
2024-02-26,Apple MacBook Air M2,9,1200,North
2024-02-12,Acoustic Guitar XT200,12,893,West
2024-03-27,Apple MacBook Air M2,19,550,East
2024-03-02,Acoustic Guitar XT200,15,1027,North
2024-03-23,Herman Miller Aeron Chair,13,136,South
2024-03-09,Bose Ultra Headphones,1,1747,North
2024-02-25,Kindle Paperwhite 16GB,7,1248,East
2024-01-01,Bose Ultra Headphones,4,349,North
2024-03-09,Logitech MX Master 3S,9,645,West
2024-03-10,Nintendo Switch OLED,3,862,North
2024-01-19,Dell UltraSharp 27 Monitor,19,1117,South
2024-01-02,Herman Miller Aeron Chair,2,1393,North
2024-02-15,Sony Alpha a7 IV,16,1158,West
2024-03-17,Acoustic Guitar XT200,5,1793,North
2024-03-31,Nintendo Switch OLED,4,715,North
2024-03-20,Herman Miller Aeron Chair,15,1728,West
2024-03-25,Kindle Paperwhite 16GB,4,192,North
2024-03-30,Nike Air Force 1,11,1236,South
2024-02-12,Nike Air Force 1,12,674,North
2024-01-15,Kindle Paperwhite 16GB,20,1641,North
2024-01-13,Sony Alpha a7 IV,18,221,North
2024-01-28,Acoustic Guitar XT200,6,1516,North
2024-02-25,Apple MacBook Air M2,12,507,East
2024-03-19,Kindle Paperwhite 16GB,4,950,South
2024-03-17,Kindle Paperwhite 16GB,18,336,West
2024-03-30,Logitech MX Master 3S,14,1357,East
2024-02-24,Acoustic Guitar XT200,10,1650,North
2024-01-05,Nike Air Force 1,14,1100,West
2024-03-05,Nike Air Force 1,6,1715,East
2024-01-13,Logitech MX Master 3S,2,1460,North
2024-01-26,Nintendo Switch OLED,7,1970,West
2024-01-27,Nintendo Switch OLED,13,824,South
2024-01-22,Nike Air Force 1,3,1326,South
2024-03-24,Sony Alpha a7 IV,12,974,East
2024-02-05,Nintendo Switch OLED,16,520,South
2024-01-07,Bose Ultra Headphones,5,272,West
2024-03-22,Logitech MX Master 3S,18,1840,South
2024-02-06,Logitech MX Master 3S,1,712,North
2024-02-27,Nintendo Switch OLED,20,556,West
2024-03-20,Acoustic Guitar XT200,3,1403,North
2024-03-27,Bose Ultra Headphones,15,304,West
2024-01-21,Bose Ultra Headphones,5,798,East
2024-01-30,Dell UltraSharp 27 Monitor,11,1006,South
2024-01-09,Acoustic Guitar XT200,3,296,North
2024-02-21,Apple MacBook Air M2,2,165,East
2024-02-08,Herman Miller Aeron Chair,13,1986,East
2024-02-07,Nintendo Switch OLED,19,707,East
2024-02-21,Acoustic Guitar XT200,4,1643,North
2024-02-17,Herman Miller Aeron Chair,11,1026,North
2024-03-06,Sony Alpha a7 IV,10,848,South
2024-02-18,Nintendo Switch OLED,10,1794,South
2024-02-29,Bose Ultra Headphones,12,1837,West
2024-01-13,Bose Ultra Headphones,4,123,West
2024-03-11,Bose Ultra Headphones,14,966,East
2024-01-29,Nintendo Switch OLED,17,1664,East
2024-01-13,Herman Miller Aeron Chair,13,165,North
2024-02-21,Bose Ultra Headphones,3,1178,East
2024-03-20,Dell UltraSharp 27 Monitor,19,1679,North
2024-03-23,Logitech MX Master 3S,3,1125,East
2024-03-03,Dell UltraSharp 27 Monitor,16,1993,East
2024-03-26,Nintendo Switch OLED,2,385,North
2024-02-23,Acoustic Guitar XT200,12,1602,East
2024-03-09,Dell UltraSharp 27 Monitor,5,496,West
2024-03-13,Sony Alpha a7 IV,7,1927,East
2024-02-29,Logitech MX Master 3S,7,1304,West
2024-01-09,Kindle Paperwhite 16GB,18,778,South
2024-03-19,Sony Alpha a7 IV,7,116,West
2024-02-21,Logitech MX Master 3S,9,1255,South
2024-03-09,Dell UltraSharp 27 Monitor,12,1395,East
2024-01-18,Apple MacBook Air M2,15,387,East
2024-01-01,Nike Air Force 1,12,1033,South
2024-03-06,Apple MacBook Air M2,10,1174,East
2024-02-21,Logitech MX Master 3S,8,856,North
2024-01-03,Sony Alpha a7 IV,11,1061,North
2024-03-05,Sony Alpha a7 IV,2,1656,South
2024-03-07,Apple MacBook Air M2,15,1496,East
2024-01-22,Logitech MX Master 3S,8,1211,West
2024-01-15,Apple MacBook Air M2,3,956,North
2024-02-12,Kindle Paperwhite 16GB,9,482,North
2024-02-07,Acoustic Guitar XT200,10,616,East
2024-03-18,Dell UltraSharp 27 Monitor,19,431,West
2024-01-30,Apple MacBook Air M2,2,953,North
2024-02-17,Bose Ultra Headphones,4,142,West
2024-03-13,Herman Miller Aeron Chair,14,1195,South
2024-01-15,Logitech MX Master 3S,6,104,North
2024-01-07,Herman Miller Aeron Chair,7,309,North
2024-02-08,Herman Miller Aeron Chair,15,1788,South
2024-01-30,Logitech MX Master 3S,1,1807,West
2024-02-17,Dell UltraSharp 27 Monitor,16,1507,East
2024-03-08,Dell UltraSharp 27 Monitor,18,990,West
2024-03-03,Logitech MX Master 3S,18,360,East
2024-01-07,Apple MacBook Air M2,6,973,West
2024-01-10,Kindle Paperwhite 16GB,18,1530,South
2024-01-11,Kindle Paperwhite 16GB,20,651,North
2024-01-23,Nike Air Force 1,9,1328,North
2024-02-05,Bose Ultra Headphones,7,1390,South
2024-02-12,Apple MacBook Air M2,1,1373,South
2024-01-17,Sony Alpha a7 IV,6,207,West
2024-03-21,Bose Ultra Headphones,20,1032,West
2024-02-28,Logitech MX Master 3S,14,1229,North
2024-02-20,Nintendo Switch OLED,5,1401,West
2024-03-18,Dell UltraSharp 27 Monitor,11,1261,South
2024-01-20,Nike Air Force 1,7,864,East
2024-01-13,Bose Ultra Headphones,18,861,South
2024-01-24,Sony Alpha a7 IV,5,1287,South
2024-01-03,Kindle Paperwhite 16GB,7,147,West
2024-01-16,Sony Alpha a7 IV,17,333,North
2024-03-21,Nintendo Switch OLED,11,1530,West
2024-01-01,Bose Ultra Headphones,12,182,North
2024-01-27,Apple MacBook Air M2,7,1219,South
2024-03-20,Sony Alpha a7 IV,14,1046,North
2024-01-10,Acoustic Guitar XT200,4,1023,East
2024-01-23,Bose Ultra Headphones,8,242,South
2024-02-09,Nike Air Force 1,8,1742,East
2024-01-25,Apple MacBook Air M2,20,1026,South
2024-02-11,Logitech MX Master 3S,6,985,North
2024-01-13,Acoustic Guitar XT200,15,524,West
2024-01-14,Logitech MX Master 3S,13,1279,North
2024-01-07,Nintendo Switch OLED,16,1921,West
2024-01-21,Dell UltraSharp 27 Monitor,4,132,South
2024-02-12,Nike Air Force 1,8,379,North
2024-03-29,Kindle Paperwhite 16GB,6,847,East
2024-02-12,Dell UltraSharp 27 Monitor,10,728,West
2024-01-26,Bose Ultra Headphones,10,115,North
2024-01-19,Dell UltraSharp 27 Monitor,15,1093,North
2024-01-29,Herman Miller Aeron Chair,17,760,East
2024-01-29,Acoustic Guitar XT200,18,1393,North
2024-02-19,Kindle Paperwhite 16GB,4,1083,South
2024-02-09,Nintendo Switch OLED,5,1400,South
2024-01-11,Bose Ultra Headphones,1,1379,South
2024-03-21,Kindle Paperwhite 16GB,16,1484,South
2024-01-10,Logitech MX Master 3S,9,410,South
2024-01-04,Nintendo Switch OLED,3,143,West
2024-03-29,Logitech MX Master 3S,3,729,East
2024-02-05,Herman Miller Aeron Chair,18,1044,West
2024-03-27,Sony Alpha a7 IV,9,1685,North
2024-01-04,Nike Air Force 1,9,1747,South
2024-01-26,Herman Miller Aeron Chair,6,893,East
2024-02-25,Bose Ultra Headphones,17,839,South
2024-03-02,Nike Air Force 1,18,1325,East
2024-03-09,Nintendo Switch OLED,11,1799,West
2024-03-21,Sony Alpha a7 IV,11,1059,South
2024-03-05,Nike Air Force 1,11,1763,North
2024-02-27,Nintendo Switch OLED,6,349,North
2024-02-15,Nintendo Switch OLED,20,220,West
2024-02-29,Herman Miller Aeron Chair,10,1414,West
2024-03-21,Sony Alpha a7 IV,10,595,West
2024-03-22,Bose Ultra Headphones,11,864,East
2024-02-15,Apple MacBook Air M2,10,1897,West
2024-03-11,Dell UltraSharp 27 Monitor,11,343,West
2024-03-14,Logitech MX Master 3S,17,1994,South
2024-01-21,Nintendo Switch OLED,1,785,South
2024-03-22,Apple MacBook Air M2,12,980,North
2024-01-09,Apple MacBook Air M2,17,1154,West
2024-01-27,Herman Miller Aeron Chair,1,1798,West
